,label,comment,label doc,comment doc,comment not empty
http://data.lirmm.fr/ontologies/osp#Ambassade,Ambassade,,ambassade ,,False
http://data.lirmm.fr/ontologies/osp#PouvoirLegislatif,Pouvoir législatif,,pouvoir législatif ,,False
http://data.lirmm.fr/ontologies/osp#Adresse,Classe décrivant une adresse postale,,classe décrivant une adresse postale ,,False
http://data.lirmm.fr/ontologies/passim#Coverage,Coverage,,coverage ,,False
http://data.lirmm.fr/ontologies/passim#Service,Service,,service ,,False
http://data.lirmm.fr/ontologies/passim#Mode,Mode,,mode ,,False
http://data.lirmm.fr/ontologies/passim#TransportServiceInformation,TransportServiceInformation,,transport service information ,,False
http://data.lirmm.fr/ontologies/poste#BureauPoste,Bureau de poste,,bureau de poste ,,False
http://data.lirmm.fr/ontologies/poste#PosteOrganisation,Organisation de la poste,,organisation de la poste ,,False
http://data.lirmm.fr/ontologies/poste#RelaisCommercant,Relais commerçant,,relais commerçant ,,False
http://data.lirmm.fr/ontologies/poste#AgencePostaleCommunale,Agence postale communale,,agence postale communale ,,False
http://data.lirmm.fr/ontologies/vdpp#Selection,Selection,,selection ,,False
http://data.lirmm.fr/ontologies/vdpp#Convertion,Convertion,,convertion ,,False
http://data.lirmm.fr/ontologies/vdpp#Publication,Publication,,publication ,,False
http://data.lirmm.fr/ontologies/vdpp#Interlinking,Interlinking,,interlinking ,,False
http://data.lirmm.fr/ontologies/vdpp#Project,Dataset publication project,,dataset publication project ,,False
http://dev.poderopedia.com/vocab/WorkRole,Work role,,work role ,,False
http://eprints.org/ontology/EPrint,EPrint Record,,e print record ,,False
http://eprints.org/ontology/Document,Document,,document ,,False
http://eprints.org/ontology/Repository,EPrints Repository,,e prints repository ,,False
http://d-nb.info/standards/elementset/agrelon#HasCorrespondent,hat Korrespondent,,hat korrespondent ,,False
http://d-nb.info/standards/elementset/agrelon#HasInlaw,tiene pariente político,,tiene pariente político ,,False
http://d-nb.info/standards/elementset/agrelon#RelatedAgent,related Agent,,related agent ,,False
http://d-nb.info/standards/elementset/agrelon#HasCousin,tiene primo o prima,,tiene primo prima ,,False
http://d-nb.info/standards/elementset/agrelon#HasColleague,hat Kollege,,hat kollege ,,False
http://d-nb.info/standards/elementset/agrelon#HasIsChief,tiene jefe / es jefe de,,tiene jefe es jefe de ,,False
http://d-nb.info/standards/elementset/agrelon#HasAcquaintance,hat Bekannte(n),,hat bekannte n ,,False
http://d-nb.info/standards/elementset/agrelon#HasCooperator,tiene colaborador(a),,tiene colaborador ,,False
http://d-nb.info/standards/elementset/agrelon#HasProfessionalContact,has professional contact,,professional contact ,,False
http://d-nb.info/standards/elementset/agrelon#HasIsChannel,tiene médium / es médium de,,tiene médium es médium de ,,False
http://d-nb.info/standards/elementset/agrelon#IsHasPhysician,tiene médico / es médico de,,tiene médico es médico de ,,False
http://d-nb.info/standards/elementset/agrelon#HasEmployeeEmployer,has employee / employer,,employee employer ,,False
http://d-nb.info/standards/elementset/agrelon#HasSibling,tiene hermano(a),,tiene hermano ,,False
http://d-nb.info/standards/elementset/agrelon#HasSpiritualContact,hat spirituellen Kontakt,,hat spirituellen kontakt ,,False
http://d-nb.info/standards/elementset/agrelon#HasIsFounder,has founder / is founder of,,founder founder ,,False
http://d-nb.info/standards/elementset/agrelon#HasGodChildParent,ha figlioccio o figlioccia / padrino o padrina,,ha figlioccio figlioccia padrino padrina ,,False
http://d-nb.info/standards/elementset/agrelon#HasIllegitimateChildParent,ha figlio(a) / genitore illegittimo(a),,ha figlio genitore illegittimo ,,False
http://d-nb.info/standards/elementset/agrelon#HasAdoptiveChildParent,tiene hijo(a) / padre / madre adoptivo(a),,tiene hijo padre madre adoptivo ,,False
http://d-nb.info/standards/elementset/agrelon#HasOffspringAncestor,hat Vorfahr / Nachkomme,,hat vorfahr nachkomme ,,False
http://d-nb.info/standards/elementset/agrelon#HasChildParent,tiene hijo(a) / padre o madre,,tiene hijo padre madre ,,False
http://d-nb.info/standards/elementset/agrelon#HasIsMember,has member / is member of,,member member ,,False
http://d-nb.info/standards/elementset/agrelon#IsHasPatron,ha mecenateè mecenate di,,ha mecenateè mecenate di ,,False
http://d-nb.info/standards/elementset/agrelon#HasInfluenceDoneeDonor,has influence on / is influenced by,,influence influenced ,,False
http://d-nb.info/standards/elementset/agrelon#HasMultipleBirthSibling,ha fratello o sorella plurigemellare,,ha fratello sorella plurigemellare ,,False
